comparison,objective,training_seed,repeat_index,class_label,stratum_match_index,off_cell,on_cell,off_dataset_index,on_dataset_index,off_ln_margin,on_ln_margin,absolute_ln_margin_distance,caliper_ln_margin,delta_ln_margin,delta_ln_gradient,delta_ln_linearized_distance,delta_ln_distance_from_margin_minus_gradient,identity_residual,complete_case_delta_ln_pga_attack_l2,delta_ln_semantic_spectral_norm
C1_minus_C0,classification,2026,2,4,15,C0,C1,1544,5812,-0.3383665725821926,-0.37192815297624326,0.03356158039405066,0.23968015870856468,-0.03356158039405066,-0.48517727030725155,0.4516157097108059,0.4516156899132009,1.9797604999816087e-08,0.5108257744333459,-0.5561712099706688
C1_minus_C0,classification,2026,2,4,16,C0,C1,2905,2554,-1.705677551848005,-1.7491850133628448,0.04350746151483986,0.23968015870856468,-0.04350746151483986,-0.48043610723189834,0.43692862983960357,0.4369286457170585,-1.587745490638781e-08,0.6875609341828799,-0.72259588915722
C1_minus_C0,classification,2026,2,4,17,C0,C1,7095,9821,0.9223269738191955,0.9674076954087173,0.04508072158952181,0.23968015870856468,0.04508072158952181,-0.8268155746475716,0.8718963311405505,0.8718962962370934,3.4903457124535464e-08,0.7540274786578129,-0.6590838444642386
C1_minus_C0,classification,2026,2,4,18,C0,C1,797,3098,-1.489488569521065,-1.5390134883387547,0.049524918817689834,0.23968015870856468,-0.049524918817689834,-0.3961944343531295,0.34666958466369246,0.3466695155354397,6.912825278870827e-08,0.6931472736922395,-0.7193051975615329
C1_minus_C0,classification,2026,2,4,19,C0,C1,6477,3616,-0.4170043704941048,-0.46958562580103697,0.05258125530693214,0.23968015870856468,-0.05258125530693214,-0.3865231675356553,0.3339418988967533,0.33394191222872316,-1.3331969861418713e-08,0.28768234150055294,-0.4737269447341983
C1_minus_C0,classification,2026,2,4,20,C0,C1,4383,7452,-0.5951124269560935,-0.5405650940712337,0.0545473328848598,0.23968015870856468,0.0545473328848598,-0.29626311874352274,0.35081050444690254,0.35081045162838254,5.281852000216247e-08,0.2814421038239086,-0.5531953032811566
C1_minus_C0,classification,2026,2,4,21,C0,C1,9610,595,-0.16470801485748907,-0.21992255349628304,0.05521453863879397,0.23968015870856468,-0.05521453863879397,-0.2671827303132549,0.21196823464521586,0.21196819167446093,4.297075492654123e-08,1.3969836978530992e-07,-0.5557747219811678
C1_minus_C0,classification,2026,2,4,22,C0,C1,4053,4053,1.4070174961170399,1.464011583109417,0.05699408699237707,0.23968015870856468,0.05699408699237707,-0.9206094637475127,0.9776035825517553,0.9776035507398898,3.181186547518422e-08,1.067111699600803,-0.7038371369299802
C1_minus_C0,classification,2026,2,4,23,C0,C1,1529,7537,0.5590772256655895,0.6166891357065231,0.05761191004093358,0.23968015870856468,0.05761191004093358,-0.8563642186797739,0.9139760920212789,0.9139761287207074,-3.669942849615637e-08,0.8298498389890581,-0.6101399911979455
C1_minus_C0,classification,2026,2,4,24,C0,C1,9447,4383,-0.3188483171999912,-0.2532328802312166,0.06561543696877459,0.23968015870856468,0.06561543696877459,-0.6497222945260082,0.7153377764818059,0.7153377314947827,4.498702310673508e-08,0.6931473047362887,-0.6276894571074251
C1_minus_C0,classification,2026,2,4,25,C0,C1,5562,3419,-0.6381468480044543,-0.7197634150820669,0.08161656707761256,0.23968015870856468,-0.08161656707761256,-0.9582048125947413,0.8765881956272634,0.8765882455171288,-4.988986535003903e-08,0.6931473668244992,-0.7600201316602115
C1_minus_C0,classification,2026,2,4,26,C0,C1,8889,9613,1.1567122112192012,1.0737559525584341,0.08295625866076706,0.23968015870856468,-0.08295625866076706,-0.7637956015801943,0.6808393170146492,0.6808393429194273,-2.590477810038294e-08,0.6663406278761186,-0.7337922217538616
C1_minus_C0,classification,2026,2,4,27,C0,C1,5654,1462,0.2699786806478384,0.18128791533095276,0.08869076531688566,0.23968015870856468,-0.08869076531688566,-0.6377045867371085,0.5490137992301802,0.5490138214202228,-2.2190042581193836e-08,0.5877868716789053,-0.5642230324182927
C1_minus_C0,classification,2026,2,4,28,C0,C1,9613,3671,0.9148455390685841,0.8250965775071593,0.08974896156142487,0.23968015870856468,-0.08974896156142487,-0.840262913412748,0.7505139101783406,0.7505139518513231,-4.1672982509233236e-08,0.6857620590787286,-0.5949502158852865
C1_minus_C0,classification,2026,2,4,29,C0,C1,3222,7867,-0.06920816960895912,0.029275641249943172,0.09848381085890229,0.23968015870856468,0.09848381085890229,-0.5208835614134878,0.6193673481765862,0.61936737227239,-2.4095803796697624e-08,0.4054651288042178,-0.5689334018468221
C1_minus_C0,classification,2026,2,4,30,C0,C1,2805,5415,0.918038052381582,0.8131887197165567,0.10484933266502527,0.23968015870856468,-0.10484933266502527,-0.7637450262180651,0.6588957369166921,0.6588956935530398,4.336365233559292e-08,0.6708610973228738,-0.7923491930232919
C1_minus_C0,classification,2026,2,4,31,C0,C1,4132,7726,-0.3271178559315478,-0.22086380066617145,0.10625405526537635,0.23968015870856468,0.10625405526537635,-0.458033704457412,0.5642877403664631,0.5642877597227883,-1.935632520932984e-08,0.5108255674727048,-0.5833311229491142
