cell,objective,snr_db,training_seeds,channel_repeats_per_seed,primary_metric,primary_mean,primary_sd_across_seeds,primary_ci95_halfwidth_t_df2,secondary_metric,secondary_mean,secondary_sd_across_seeds,secondary_ci95_halfwidth_t_df2
C0,classification,6.0,3,3,mean_accuracy,0.546633329656389,0.02667723216853339,0.06626991847498112,mean_cross_entropy,1.352278961075677,0.09819610326592353,0.2439326432698409
C0,classification,8.0,3,3,mean_accuracy,0.5682444373766581,0.023243100866218495,0.05773906339979735,mean_cross_entropy,1.2664165496826172,0.07555918136845777,0.18769941190639233
C0,classification,10.0,3,3,mean_accuracy,0.5815888974401686,0.020061683942344824,0.04983598564240105,mean_cross_entropy,1.213413781589932,0.06829325854327807,0.1696498590056937
C0,classification,12.0,3,3,mean_accuracy,0.5899333291583592,0.02170901021731038,0.05392817096560069,mean_cross_entropy,1.1776460276709662,0.06015632003264945,0.14943658319324502
C0,classification,14.0,3,3,mean_accuracy,0.5974888934029473,0.017975957079216166,0.044654752885291776,mean_cross_entropy,1.1540583769480386,0.05305377353070629,0.13179287957830543
C0,classification,16.0,3,3,mean_accuracy,0.600033336215549,0.01720554775147014,0.04274095002075342,mean_cross_entropy,1.141307486428155,0.051898365780783134,0.1289226876142724
C0,classification,18.0,3,3,mean_accuracy,0.6032333307796055,0.016085733037813736,0.0399591760603863,mean_cross_entropy,1.1321712334950764,0.05009271615374213,0.12443720528153135
C0,classification,20.0,3,3,mean_accuracy,0.6051333480411105,0.01610838312903471,0.040015442006162916,mean_cross_entropy,1.1268419954511855,0.048511503332502696,0.12050925488198683
C1,classification,0.0,3,3,mean_accuracy,0.5082333286603292,0.02270405027957759,0.056399987508981377,mean_cross_entropy,1.5608125925064087,0.01610900209686534,0.040016979607493335
C1,classification,2.0,3,3,mean_accuracy,0.5449110998047723,0.023113544252136235,0.057417226928948885,mean_cross_entropy,1.3755201233757866,0.02975910902644322,0.07392572500068652
C1,classification,4.0,3,3,mean_accuracy,0.5713888870345222,0.027333144277273173,0.0678992944798955,mean_cross_entropy,1.2679598463906183,0.0528935284836003,0.1313948088136682
